Sample_ID,Title,Organism,Series_ID,GPL_ID,Instrument Model,SRA_ID,Library Strategy,H3K4me3_description,Tissue,Cell Line,Cell Type,Disease,Treatment,Genotype,Antibody,Feature in Title,Feature in Ab,Feature in Title or Ab
GSM518558,H3K4me3 in SH-SY5Y,Homo sapiens,['GSE20673'],GPL9115,Illumina Genome Analyzer II,https://www.ncbi.nlm.nih.gov/sra?term=SRX017324,ChIP-Seq,"{'antibody': 'anti-H3K4me3', 'Title': 'H3K4me3 in SH-SY5Y'}",,neuroblastoma cell line SH-SY5Y,,,{},{},{'antibody': 'anti-H3K4me3'},True,True,True
GSM1127128,H3K4me3 ChIP-Seq analysis of placenta (smooth chorionic membrane) tissue from CTL02 (A21711),Homo sapiens,['GSE16368'],GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX1157767,ChIP-Seq,{'Title': 'H3K4me3 ChIP-Seq analysis of placenta (smooth chorionic membrane) tissue from CTL02 (A21711)'},Placenta,,,,{},{},{},True,False,True
GSM2175579,hg19_shMLL1_H3K4me3_150408_rep1,Homo sapiens,['GSE81795'],GPL18573,Illumina NextSeq 500,https://www.ncbi.nlm.nih.gov/sra?term=SRX1794294,ChIP-Seq,"{'chip antibody': 'H3K4me3 (homemade)', 'Title': 'hg19_shMLL1_H3K4me3_150408_rep1'}",,HCT116,,,{},{},{'chip antibody': 'H3K4me3 (homemade)'},True,True,True
GSM772867,ChIP-Seq analysis of H3K4me3 in human CD25- Th cells; DNA_Lib 360,Homo sapiens,['GSE17312'],GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX088782,ChIP-Seq,"{'experiment_type': 'Histone H3K4me3', 'chip_antibody': 'H3K4me3', 'Title': 'ChIP-Seq analysis of H3K4me3 in human CD25- Th cells; DNA_Lib 360'}",,,,presumed normal,{},{},{'chip_antibody': 'H3K4me3'},True,True,True
GSM772862,ChIP-Seq analysis of H3K4me3 in human CD25- CD45RO+ mem cells; DNA_Lib 719,Homo sapiens,['GSE17312'],GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX088777,ChIP-Seq,"{'experiment_type': 'Histone H3K4me3', 'chip_antibody': 'H3K4me3', 'Title': 'ChIP-Seq analysis of H3K4me3 in human CD25- CD45RO+ mem cells; DNA_Lib 719'}",,,,presumed normal,{},{},{'chip_antibody': 'H3K4me3'},True,True,True
GSM1824910,H3K4me3 ChIP in control_MDA-MB-231-Luc cells,Homo sapiens,"['GSE71003', 'GSE71077']",GPL16791,Illumina HiSeq 2500,https://www.ncbi.nlm.nih.gov/sra?term=SRX1098777,ChIP-Seq,"{'chip antibody': 'anti-H3K4me3 (Abcam, catalog# ab1012, lot# GR187380-1)', 'Title': 'H3K4me3 ChIP in control_MDA-MB-231-Luc cells'}",,MDA-MB-231-Luc,,,{},{'genotype': 'wild type'},"{'chip antibody': 'anti-H3K4me3 (Abcam, catalog# ab1012, lot# GR187380-1)'}",True,True,True
GSM1550869,GM19131_H3K4ME3,Homo sapiens,['GSE62742'],GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX764548,ChIP-Seq,"{'antibody': 'H3K4ME3', 'Title': 'GM19131_H3K4ME3'}",,GM19131,,,{},{},{'antibody': 'H3K4ME3'},True,True,True
GSM621457,ChIP-Seq analysis of H3K4me3 in human fetal brain cells; Lib:XZ:20100129:17--ChIP:XZ:20100125:17:fetal brain:H3K4me3,Homo sapiens,['GSE19465'],GPL9115,Illumina Genome Analyzer II,https://www.ncbi.nlm.nih.gov/sra?term=SRX031451,ChIP-Seq,"{'experiment_type': 'Histone H3K4me3', 'chip_antibody': 'H3K4me3', 'Title': 'ChIP-Seq analysis of H3K4me3 in human fetal brain cells; Lib:XZ:20100129:17--ChIP:XZ:20100125:17:fetal brain:H3K4me3'}",,,,none,{},{},{'chip_antibody': 'H3K4me3'},True,True,True
GSM1338343,T1DS H3K4me3 ChIP,Homo sapiens,"['GSE55506', 'GSE55426']",GPL16791,Illumina HiSeq 2500,https://www.ncbi.nlm.nih.gov/sra?term=SRX480792,ChIP-Seq,"{'chip antibody': 'H3K4me3 antibody', 'Title': 'T1DS H3K4me3 ChIP'}",Fetal primary fibroblasts,,,Trisomy 21,{},{},{'chip antibody': 'H3K4me3 antibody'},True,True,True
GSM1133649,LY1_H3K4ME3_JQ1,Homo sapiens,['GSE46663'],GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX275402,ChIP-Seq,"{'chip antibody': 'H3K4me3', 'Title': 'LY1_H3K4ME3_JQ1'}",,OC-LY1,,,{'treatment': 'JQ1'},{},{'chip antibody': 'H3K4me3'},True,True,True
GSM1133648,LY1_H3K4ME3_DMSO,Homo sapiens,['GSE46663'],GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX275401,ChIP-Seq,"{'chip antibody': 'H3K4me3', 'Title': 'LY1_H3K4ME3_DMSO'}",,OC-LY1,,,{'treatment': 'DMSO'},{},{'chip antibody': 'H3K4me3'},True,True,True
GSM1338344,T2N H3K4me3 ChIP,Homo sapiens,"['GSE55506', 'GSE55426']",GPL16791,Illumina HiSeq 2500,https://www.ncbi.nlm.nih.gov/sra?term=SRX480793,ChIP-Seq,"{'chip antibody': 'H3K4me3 antibody', 'Title': 'T2N H3K4me3 ChIP'}",Fetal primary fibroblasts,,,Euploid,{},{},{'chip antibody': 'H3K4me3 antibody'},True,True,True
GSM767349,Reference Epigenome: ChIP-Seq Analysis of H3K4me3 in Mesenchymal Stem Cells; renlab.H3K4me3.MSC.02.01,Homo sapiens,['GSE16256'],GPL10999,Illumina Genome Analyzer IIx,https://www.ncbi.nlm.nih.gov/sra?term=SRX084992,ChIP-Seq,"{'experiment_type': 'Histone H3K4me3', 'chip_antibody': 'H3K4me3', 'Title': 'Reference Epigenome: ChIP-Seq Analysis of H3K4me3 in Mesenchymal Stem Cells; renlab.H3K4me3.MSC.02.01'}",,H1,,None,{},{},{'chip_antibody': 'H3K4me3'},True,True,True
GSM670022,ChIP-Seq analysis of H3K4me3; hippocampus mid cls; Lib:XZ:20100921:09--ChIP:XZ:20100914:09:hippocampus middle:H3K4Me3,Homo sapiens,['GSE19465'],GPL10999,Illumina Genome Analyzer IIx,https://www.ncbi.nlm.nih.gov/sra?term=SRX533017,ChIP-Seq,"{'experiment_type': 'Histone H3K4me3', 'chip_antibody': 'H3K4Me3', 'Title': 'ChIP-Seq analysis of H3K4me3; hippocampus mid cls; Lib:XZ:20100921:09--ChIP:XZ:20100914:09:hippocampus middle:H3K4Me3'}",,,,none,{},{},{'chip_antibody': 'H3K4Me3'},True,True,True
GSM1888697,H3K4me3-Naive-D5-Donor5053,Homo sapiens,"['GSE73212', 'GSE73214']",GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX1261895,ChIP-Seq,"{'chip antibody': 'H3K4me3', 'Title': 'H3K4me3-Naive-D5-Donor5053'}",,,,,"{'days after activation': '5', 'activated': 'TRUE'}",{},{'chip antibody': 'H3K4me3'},True,True,True
GSM1326442,HAEC H3K4Me3 SAHA3 [ChIP-seq],Homo sapiens,"['GSE37378', 'GSE54909']",GPL10999,Illumina Genome Analyzer IIx,https://www.ncbi.nlm.nih.gov/sra?term=SRX469903,ChIP-Seq,"{'chip antibody': 'Histone H3K4me3 antibody', 'Title': 'HAEC H3K4Me3 SAHA3 [ChIP-seq]'}",,,,,{},{},{'chip antibody': 'Histone H3K4me3 antibody'},True,True,True
GSM1326441,HAEC H3K4Me3 SAHA2 [ChIP-seq],Homo sapiens,"['GSE37378', 'GSE54909']",GPL10999,Illumina Genome Analyzer IIx,https://www.ncbi.nlm.nih.gov/sra?term=SRX469902,ChIP-Seq,"{'chip antibody': 'Histone H3K4me3 antibody', 'Title': 'HAEC H3K4Me3 SAHA2 [ChIP-seq]'}",,,,,{},{},{'chip antibody': 'Histone H3K4me3 antibody'},True,True,True
GSM1326440,HAEC H3K4Me3 SAHA1 [ChIP-seq],Homo sapiens,"['GSE37378', 'GSE54909']",GPL10999,Illumina Genome Analyzer IIx,https://www.ncbi.nlm.nih.gov/sra?term=SRX469901,ChIP-Seq,"{'chip antibody': 'Histone H3K4me3 antibody', 'Title': 'HAEC H3K4Me3 SAHA1 [ChIP-seq]'}",,,,,{},{},{'chip antibody': 'Histone H3K4me3 antibody'},True,True,True
GSM1888693,H3K4me3-Memory-D5-Donor5053,Homo sapiens,"['GSE73212', 'GSE73214']",GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX1261891,ChIP-Seq,"{'chip antibody': 'H3K4me3', 'Title': 'H3K4me3-Memory-D5-Donor5053'}",,,,,"{'days after activation': '5', 'activated': 'TRUE'}",{},{'chip antibody': 'H3K4me3'},True,True,True
GSM1888691,H3K4me3-Memory-D0-Donor5053,Homo sapiens,"['GSE73212', 'GSE73214']",GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX1261889,ChIP-Seq,"{'chip antibody': 'H3K4me3', 'Title': 'H3K4me3-Memory-D0-Donor5053'}",,,,,"{'days after activation': '0', 'activated': 'FALSE'}",{},{'chip antibody': 'H3K4me3'},True,True,True
GSM772797,ChIP-Seq analysis of H3K4me3 in human HUES48 cells; Lib EpiLabSPL Row 1714,Homo sapiens,['GSE17312'],GPL10999,Illumina Genome Analyzer IIx,https://www.ncbi.nlm.nih.gov/sra?term=SRX088712,ChIP-Seq,"{'experiment_type': 'Histone H3K4me3', 'chip_antibody': 'H3K4Me3', 'Title': 'ChIP-Seq analysis of H3K4me3 in human HUES48 cells; Lib EpiLabSPL Row 1714'}",,HUES48,,none,{},{},{'chip_antibody': 'H3K4Me3'},True,True,True
GSM1888699,H3K4me3-Memory-D0-Donor5131,Homo sapiens,"['GSE73212', 'GSE73214']",GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX1261897,ChIP-Seq,"{'chip antibody': 'H3K4me3', 'Title': 'H3K4me3-Memory-D0-Donor5131'}",,,,,"{'days after activation': '0', 'activated': 'FALSE'}",{},{'chip antibody': 'H3K4me3'},True,True,True
GSM894072,H128_H3K4ME3,Homo sapiens,['GSE36354'],GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX129080,ChIP-Seq,"{'chip antibody': 'H3K4me3', 'Title': 'H128_H3K4ME3'}",,,,,{},{},{'chip antibody': 'H3K4me3'},True,True,True
GSM894073,H2171_H3K4ME3,Homo sapiens,['GSE36354'],GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX129081,ChIP-Seq,"{'chip antibody': 'H3K4me3', 'Title': 'H2171_H3K4ME3'}",,,,,{},{},{'chip antibody': 'H3K4me3'},True,True,True
GSM894070,P493-6_T24_H3K4ME3,Homo sapiens,['GSE36354'],GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX129078,ChIP-Seq,"{'chip antibody': 'H3K4me3', 'Title': 'P493-6_T24_H3K4ME3'}",,,,,{},{},{'chip antibody': 'H3K4me3'},True,True,True
GSM894071,U87_H3K4ME3,Homo sapiens,['GSE36354'],GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX129079,ChIP-Seq,"{'chip antibody': 'H3K4me3', 'Title': 'U87_H3K4ME3'}",,,,,{},{},{'chip antibody': 'H3K4me3'},True,True,True
GSM1436882,WIBR2_6i/L/A_H3K4me3,Homo sapiens,"['GSE59434', 'GSE59435']",GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX652749,ChIP-Seq,"{'chip antibody': 'H3K4me3', 'Title': 'WIBR2_6i/L/A_H3K4me3'}",,,,,{},{},{'chip antibody': 'H3K4me3'},True,True,True
GSM1436881,WIBR2_hESM_H3K4me3,Homo sapiens,"['GSE59434', 'GSE59435']",GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX652748,ChIP-Seq,"{'chip antibody': 'H3K4me3', 'Title': 'WIBR2_hESM_H3K4me3'}",,,,,{},{},{'chip antibody': 'H3K4me3'},True,True,True
GSM1869140,BJEL_H3K4me3_ChIP-seq,Homo sapiens,"['GSE72532', 'GSE72533']",GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX1184127,ChIP-Seq,"{'chip antibody': 'anti-H3K4me3', 'Title': 'BJEL_H3K4me3_ChIP-seq'}",,BJEL,,,{},{},{'chip antibody': 'anti-H3K4me3'},True,True,True
GSM1869146,BJELM_H3K4me3_ChIP-seq,Homo sapiens,"['GSE72532', 'GSE72533']",GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX1184133,ChIP-Seq,"{'chip antibody': 'anti-H3K4me3', 'Title': 'BJELM_H3K4me3_ChIP-seq'}",,BJELM,,,{},{},{'chip antibody': 'anti-H3K4me3'},True,True,True
GSM1406303,Blueprint_S00NN3H1_H3K4me3,Homo sapiens,['GSE58310'],GPL18573,Illumina NextSeq 500,https://www.ncbi.nlm.nih.gov/sra?term=SRX581541,ChIP-Seq,{'Title': 'Blueprint_S00NN3H1_H3K4me3'},,,,,{},{},{},True,False,True
GSM1406300,Blueprint_S00NM5H1_H3K4me3,Homo sapiens,['GSE58310'],GPL18573,Illumina NextSeq 500,https://www.ncbi.nlm.nih.gov/sra?term=SRX581538,ChIP-Seq,{'Title': 'Blueprint_S00NM5H1_H3K4me3'},,,,,{},{},{},True,False,True
GSM1406306,Blueprint_S00BWXH1_H3K4me3,Homo sapiens,['GSE58310'],GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX581544,ChIP-Seq,{'Title': 'Blueprint_S00BWXH1_H3K4me3'},,,,,{},{},{},True,False,True
GSM1406309,Blueprint_S00BXVH1_H3K4me3,Homo sapiens,['GSE58310'],GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX581547,ChIP-Seq,{'Title': 'Blueprint_S00BXVH1_H3K4me3'},,,,,{},{},{},True,False,True
GSM1612049,ChIP H3K4me3 mobPBSC 1,Homo sapiens,['GSE54580'],GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX879208,ChIP-Seq,"{'antibody target': 'H3K4me3', 'Title': 'ChIP H3K4me3 mobPBSC 1'}",,,,,{},{},{'antibody target': 'H3K4me3'},True,True,True
GSM1033574,H3K4me3_2x10e4_R2,Homo sapiens,['GSE42147'],GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX203353,ChIP-Seq,"{'chip antibody': 'H3K4me3 (Diagenode, Cat# pAb-003-050)', 'Title': 'H3K4me3_2x10e4_R2'}",,,,,{},{},"{'chip antibody': 'H3K4me3 (Diagenode, Cat# pAb-003-050)'}",True,True,True
GSM1033575,H3K4me3_2x10e4_R3,Homo sapiens,['GSE42147'],GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX203354,ChIP-Seq,"{'chip antibody': 'H3K4me3 (Diagenode, Cat# pAb-003-050)', 'Title': 'H3K4me3_2x10e4_R3'}",,,,,{},{},"{'chip antibody': 'H3K4me3 (Diagenode, Cat# pAb-003-050)'}",True,True,True
GSM1918639,Exp015-2_H3K4me3_1000c_Ad_BC06_60u,Homo sapiens,['GSE74359'],GPL18573,Illumina NextSeq 500,https://www.ncbi.nlm.nih.gov/sra?term=SRX1383885,ChIP-Seq,"{'histone modification': 'H3K4me3', 'Title': 'Exp015-2_H3K4me3_1000c_Ad_BC06_60u'}",,,,,{'treatment': 'none'},{},"{'histone modification': 'H3K4me3', 'experiment': 'Low_input_K562/Exp015-2'}",True,True,True
GSM1918638,Exp015-2_H3K4me3_1000c_Ad_BC05_150u,Homo sapiens,['GSE74359'],GPL18573,Illumina NextSeq 500,https://www.ncbi.nlm.nih.gov/sra?term=SRX1383884,ChIP-Seq,"{'histone modification': 'H3K4me3', 'Title': 'Exp015-2_H3K4me3_1000c_Ad_BC05_150u'}",,,,,{'treatment': 'none'},{},"{'histone modification': 'H3K4me3', 'experiment': 'Low_input_K562/Exp015-2'}",True,True,True
GSM1033570,H3K4me3_1x10e5_R1,Homo sapiens,['GSE42147'],GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX203349,ChIP-Seq,"{'chip antibody': 'H3K4me3 (Diagenode, Cat# pAb-003-050)', 'Title': 'H3K4me3_1x10e5_R1'}",,,,,{},{},"{'chip antibody': 'H3K4me3 (Diagenode, Cat# pAb-003-050)'}",True,True,True
GSM1033571,H3K4me3_1x10e5_R2,Homo sapiens,['GSE42147'],GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX203350,ChIP-Seq,"{'chip antibody': 'H3K4me3 (Diagenode, Cat# pAb-003-050)', 'Title': 'H3K4me3_1x10e5_R2'}",,,,,{},{},"{'chip antibody': 'H3K4me3 (Diagenode, Cat# pAb-003-050)'}",True,True,True
GSM1033572,H3K4me3_1x10e5_R3,Homo sapiens,['GSE42147'],GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX203351,ChIP-Seq,"{'chip antibody': 'H3K4me3 (Diagenode, Cat# pAb-003-050)', 'Title': 'H3K4me3_1x10e5_R3'}",,,,,{},{},"{'chip antibody': 'H3K4me3 (Diagenode, Cat# pAb-003-050)'}",True,True,True
GSM1033573,H3K4me3_2x10e4_R1,Homo sapiens,['GSE42147'],GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX203352,ChIP-Seq,"{'chip antibody': 'H3K4me3 (Diagenode, Cat# pAb-003-050)', 'Title': 'H3K4me3_2x10e4_R1'}",,,,,{},{},"{'chip antibody': 'H3K4me3 (Diagenode, Cat# pAb-003-050)'}",True,True,True
GSM1918637,Exp015-2_H3K4me3_1000c_Ad_BC01_300u,Homo sapiens,['GSE74359'],GPL18573,Illumina NextSeq 500,https://www.ncbi.nlm.nih.gov/sra?term=SRX1383883,ChIP-Seq,"{'histone modification': 'H3K4me3', 'Title': 'Exp015-2_H3K4me3_1000c_Ad_BC01_300u'}",,,,,{'treatment': 'none'},{},"{'histone modification': 'H3K4me3', 'experiment': 'Low_input_K562/Exp015-2'}",True,True,True
GSM1033758,MM.1S_H3K4me3_JQ1_JL_ChipSeq,Homo sapiens,['GSE42161'],GPL11154,Illumina HiSeq 2000,https://www.ncbi.nlm.nih.gov/sra?term=SRX203393,ChIP-Seq,"{'chip antibody': 'H3K4me3', 'Title': 'MM.1S_H3K4me3_JQ1_JL_ChipSeq'}",,,,,{'treatment drug': 'JQ1'},{},{'chip antibody': 'H3K4me3'},True,True,True
GSM945249,UW_ChipSeq_HA-sp_H3K4me3,Homo sapiens,['GSE35583'],GPL9052,Illumina Genome Analyzer,https://www.ncbi.nlm.nih.gov/sra?term=SRX190032,ChIP-Seq,"{'antibody antibodydescription': 'rabbit polyclonal. Antibody Target: H3K4me3', 'antibody': 'H3K4me3', 'Title': 'UW_ChipSeq_HA-sp_H3K4me3'}",,HA-sp,,,{'treatment': 'None'},{},"{'antibody antibodydescription': 'rabbit polyclonal. Antibody Target: H3K4me3', 'antibody': 'H3K4me3'}",True,True,True
GSM942089,Chip Seq H3K27me3 in ER:Ras expressing IMR90 d6 4OHT SLX3351,Homo sapiens,"['GSE38442', 'GSE38448']",GPL10999,Illumina Genome Analyzer IIx,https://www.ncbi.nlm.nih.gov/sra?term=SRX151366,ChIP-Seq,{'chip antibody': 'H3K4me3 CMA323'},,IMR90,,,{'treatment': 'd6 4OHT'},{},{'chip antibody': 'H3K4me3 CMA323'},False,True,True
GSM942088,Chip Seq H3K27me3 in ER:Ras expressing IMR90 d6 4OHT SLX645,Homo sapiens,"['GSE38442', 'GSE38448']",GPL9115,Illumina Genome Analyzer II,https://www.ncbi.nlm.nih.gov/sra?term=SRX151365,ChIP-Seq,{'chip antibody': 'H3K4me3 CMA323'},,IMR90,,,{'treatment': 'd6 4OHT'},{},{'chip antibody': 'H3K4me3 CMA323'},False,True,True
GSM942087,Chip Seq H3K9me2 in ER:Ras expressing IMR90 with no treatment SLX926,Homo sapiens,"['GSE38442', 'GSE38448']",GPL9115,Illumina Genome Analyzer II,https://www.ncbi.nlm.nih.gov/sra?term=SRX151364,ChIP-Seq,{'chip antibody': 'H3K4me3 CMA317'},,IMR90,,,{'treatment': 'no treatment'},{},{'chip antibody': 'H3K4me3 CMA317'},False,True,True
GSM942086,Chip Seq H3K9me2 in ER:Ras expressing IMR90 d6 4OHT SLX2981,Homo sapiens,"['GSE38442', 'GSE38448']",GPL10999,Illumina Genome Analyzer IIx,https://www.ncbi.nlm.nih.gov/sra?term=SRX151363,ChIP-Seq,{'chip antibody': 'H3K4me3 CMA317'},,IMR90,,,{'treatment': 'd6 4OHT'},{},{'chip antibody': 'H3K4me3 CMA317'},False,True,True
GSM942085,Chip Seq H3K9me2 in ER:Ras expressing IMR90 d6 4OHT SLX3209,Homo sapiens,"['GSE38442', 'GSE38448']",GPL10999,Illumina Genome Analyzer IIx,https://www.ncbi.nlm.nih.gov/sra?term=SRX151362,ChIP-Seq,{'chip antibody': 'H3K4me3 CMA317'},,IMR90,,,{'treatment': 'd6 4OHT'},{},{'chip antibody': 'H3K4me3 CMA317'},False,True,True
GSM942084,Chip Seq H3K9me2 in ER:Ras expressing IMR90 with no treatment SLX2975,Homo sapiens,"['GSE38442', 'GSE38448']",GPL10999,Illumina Genome Analyzer IIx,https://www.ncbi.nlm.nih.gov/sra?term=SRX151361,ChIP-Seq,{'chip antibody': 'H3K4me3 CMA317'},,IMR90,,,{'treatment': 'no treatment'},{},{'chip antibody': 'H3K4me3 CMA317'},False,True,True
GSM942083,Chip Seq H3K9me2 in ER:Ras expressing IMR90 d6 4OHT SLX927,Homo sapiens,"['GSE38442', 'GSE38448']",GPL9115,Illumina Genome Analyzer II,https://www.ncbi.nlm.nih.gov/sra?term=SRX151360,ChIP-Seq,{'chip antibody': 'H3K4me3 CMA317'},,IMR90,,,{'treatment': 'd6 4OHT'},{},{'chip antibody': 'H3K4me3 CMA317'},False,True,True
