GSM_ID,Organism,GSE_ID,GPL_ID,SRA_ID,Library Strategy
GSM942085,Homo sapiens,GSE38442,GPL9115,SRX151362,chip-seq
GSM942084,Homo sapiens,GSE38442,GPL9115,SRX151361,chip-seq
GSM942083,Homo sapiens,GSE38442,GPL9115,SRX151360,chip-seq
GSM942082,Homo sapiens,GSE38442,GPL9115,SRX151359,chip-seq
GSM942081,Homo sapiens,GSE38442,GPL9115,SRX151358,chip-seq
GSM942080,Homo sapiens,GSE38442,GPL9115,SRX151357,chip-seq
GSM2035834,Mus musculus,GSE76692,GPL13112,SRX1525804,chip-seq
GSM2035835,Mus musculus,GSE76692,GPL13112,SRX1525805,chip-seq
GSM2035836,Mus musculus,GSE76692,GPL13112,SRX1525806,chip-seq
GSM1847967,Homo sapiens,GSE71952,GPL16791,SRX1142293,chip-seq
GSM1217930,Homo sapiens,GSE50386,GPL10999,SRX340791,chip-seq
GSM1217931,Homo sapiens,GSE50386,GPL10999,SRX340792,chip-seq
GSM714139,Drosophila melanogaster,GSE28833,GPL9058,,chip-seq
GSM2232470,Mus musculus,GSE83833,GPL19057,SRX1943426,chip-seq
GSM714135,Drosophila melanogaster,GSE28833,GPL9058,,chip-seq
GSM2035838,Mus musculus,GSE76692,GPL13112,SRX1525808,chip-seq
GSM772887,Homo sapiens,GSE17312,GPL570,,chip-seq
GSM714130,Drosophila melanogaster,GSE28833,GPL9058,,chip-seq
GSM727906,Caenorhabditis elegans,GSE29427,GPL9269,SRX063957,chip-seq
GSM2027819,Eutrema salsugineum,GSE75071,GPL11022,SRX1518746,chip-seq
GSM1340257,Homo sapiens,GSE55615,GPL10999,SRX481460,chip-seq
GSM2029144,Homo sapiens,GSE76618,GPL11154,SRX1521239,chip-seq
GSM1087090,Mus musculus,GSE44571,GPL9250,SRX244260,chip-seq
GSM1087091,Mus musculus,GSE44571,GPL9250,SRX244261,chip-seq
GSM1087092,Mus musculus,GSE44571,GPL9250,SRX244262,chip-seq
GSM1467636,Mus musculus,GSE60207,GPL13112,SRX671900,chip-seq
GSM1668440,Homo sapiens,GSE68234,GPL10999,SRX1012138,chip-seq
GSM1847963,Homo sapiens,GSE71952,GPL16791,SRX1142289,chip-seq
GSM1668446,Homo sapiens,GSE68234,GPL10999,SRX1012144,chip-seq
GSM2027814,Arabidopsis thaliana,GSE75071,GPL11022,SRX1518741,chip-seq
GSM540720,Mus musculus,GSE21669,GPL9185,SRX020335,chip-seq
GSM540721,Mus musculus,GSE21669,GPL9185,SRX020336,chip-seq
GSM1688591,Homo sapiens,GSE68952,GPL9115,SRX1029470,chip-seq
GSM482783,Xenopus tropicalis,GSE19413,GPL9778,,
GSM482782,Xenopus tropicalis,GSE19413,GPL9778,,
GSM482781,Xenopus tropicalis,GSE19413,GPL9778,,
GSM482780,Xenopus tropicalis,GSE19413,GPL9778,,
GSM1722607,Homo sapiens,GSE64642,GPL11154,SRX1074426,chip-seq
GSM1233926,Homo sapiens,GSE50893,GPL11154,SRX356494,chip-seq
GSM905439,Mus musculus,GSE36905,GPL9250,SRX328598,chip-seq
GSM1410349,Mus musculus,GSE58407,GPL13112,SRX590281,chip-seq
GSM732911,Homo sapiens,GSE29600,GPL9052,SRX070889,chip-seq
GSM558440,Mus musculus,GSE22474,GPL4128,,
GSM558441,Mus musculus,GSE22474,GPL4128,,
GSM2200358,Gossypium hirsutum,GSE83371,GPL19231,SRX1846413,chip-seq
GSM1939101,Mus musculus,GSE74964,GPL13112,SRX1430122,chip-seq
GSM129259,Saccharomyces cerevisiae,GSE5566,GPL4075,,
GSM500898,Danio rerio,GSE20023,GPL9970,,
GSM1547692,Mus musculus,GSE63048,GPL13112,SRX761313,chip-seq
GSM1721824,Mus musculus,GSE70253,GPL17021,SRX1073826,chip-seq
GSM1586384,Homo sapiens,GSE65049,GPL9115,,chip-seq
GSM1721826,Mus musculus,GSE70253,GPL17021,SRX1073828,chip-seq
GSM1721827,Mus musculus,GSE70253,GPL17021,SRX1073829,chip-seq
GSM997265,Homo sapiens,GSE17312,GPL570,,chip-seq
GSM1721821,Mus musculus,GSE70253,GPL17021,SRX1073823,chip-seq
GSM1721822,Mus musculus,GSE70253,GPL17021,SRX1073824,chip-seq
GSM1721823,Mus musculus,GSE70253,GPL17021,SRX1073825,chip-seq
GSM64587,Saccharomyces cerevisiae,GSE2954,GPL2625,,
GSM2090078,Arabidopsis thaliana,GSE79259,GPL13222,SRX1634371,chip-seq
GSM1647625,Homo sapiens,GSE67471,GPL11154,SRX974434,chip-seq
GSM1586387,Homo sapiens,GSE65049,GPL9115,,chip-seq
GSM1409786,Mus musculus,GSE58391,GPL13112,SRX589571,chip-seq
GSM945856,Homo sapiens,GSE31755,GPL9052,SRX152077,chip-seq
GSM1918523,Homo sapiens,GSE74359,GPL18573,SRX1383769,chip-seq
GSM1670899,Homo sapiens,GSE68402,GPL15520,SRX1013880,chip-seq
GSM1538119,Mus musculus,GSE63020,GPL13112,SRX751754,chip-seq
GSM871043,Homo sapiens,GSE35573,GPL9442,SRX118602,chip-seq
GSM529970,Homo sapiens,GSE21172,GPL9052,SRX019342,chip-seq
GSM529971,Homo sapiens,GSE21172,GPL9052,SRX019343,chip-seq
GSM529972,Homo sapiens,GSE21172,GPL9052,SRX019344,chip-seq
GSM2232475,Mus musculus,GSE83833,GPL19057,SRX1943431,chip-seq
GSM1241609,Homo sapiens,GSE51272,GPL6984,,
GSM871040,Homo sapiens,GSE35573,GPL9442,SRX118599,chip-seq
GSM1572786,Homo sapiens,GSE64504,GPL16791,SRX823979,chip-seq
GSM1241605,Homo sapiens,GSE51272,GPL6984,,
GSM1463440,Mus musculus,GSE60005,GPL11002,SRX668844,chip-seq
GSM1241607,Homo sapiens,GSE51272,GPL6984,,
GSM1241606,Homo sapiens,GSE51272,GPL6984,,
GSM1103491,Mus musculus,GSE45390,GPL10129,,
GSM1521724,Homo sapiens,GSE62193,GPL16791,SRX729676,chip-seq
GSM1647624,Homo sapiens,GSE67471,GPL11154,SRX974433,chip-seq
GSM2082701,Mus musculus,GSE73952,GPL13112,SRX1617447,chip-seq
GSM945299,Homo sapiens,GSE35583,GPL9052,SRX190082,chip-seq
GSM945298,Homo sapiens,GSE35583,GPL9052,SRX190081,chip-seq
GSM2191682,Mus musculus,GSE82670,GPL13112,SRX1833457,chip-seq
GSM2082706,Mus musculus,GSE73952,GPL13112,SRX1617452,chip-seq
GSM2082707,Mus musculus,GSE73952,GPL13112,SRX1617453,chip-seq
GSM1918522,Homo sapiens,GSE74359,GPL18573,SRX1383768,chip-seq
GSM945292,Homo sapiens,GSE35583,GPL9052,SRX190075,chip-seq
GSM945290,Homo sapiens,GSE35583,GPL9052,SRX190073,chip-seq
GSM945297,Homo sapiens,GSE35583,GPL9052,SRX190080,chip-seq
GSM945296,Homo sapiens,GSE35583,GPL9052,SRX190079,chip-seq
GSM945295,Homo sapiens,GSE35583,GPL9052,SRX190078,chip-seq
GSM1171628,Mus musculus,GSE48172,GPL13112,SRX312200,chip-seq
GSM2191993,Mus musculus,GSE82814,GPL17021,SRX1833819,chip-seq
GSM1722610,Homo sapiens,GSE64642,GPL11154,SRX1074574,chip-seq
GSM530319,Mus musculus,GSE21207,GPL9250,SRX018810,chip-seq
GSM769014,Mus musculus,GSE31039,GPL9250,SRX085437,chip-seq
GSM769017,Mus musculus,GSE31039,GPL9250,SRX085440,chip-seq
GSM769016,Mus musculus,GSE31039,GPL9250,SRX085439,chip-seq
GSM1782768,Homo sapiens,GSE70482,GPL11154,SRX1080068,other
GSM1572780,Homo sapiens,GSE64504,GPL16791,SRX823973,chip-seq
GSM530317,Mus musculus,GSE21207,GPL9250,SRX018808,chip-seq
GSM1647627,Homo sapiens,GSE67471,GPL11154,SRX974436,chip-seq
GSM1003735,Homo sapiens,GSE40867,GPL11154,SRX186825,chip-seq
GSM456228,Mus musculus,GSE18258,GPL4128,,
GSM1617789,Mus musculus,GSE66233,GPL13112,SRX886476,chip-seq
GSM1617788,Mus musculus,GSE66233,GPL13112,SRX886475,chip-seq
GSM1816302,Mus musculus,GSE60627,GPL9185,SRX1090865,chip-seq
GSM2191175,Mus musculus,GSE82438,GPL21103,SRX1832948,chip-seq
GSM1225090,Arabidopsis thaliana,GSE50636,GPL11221,SRX346160,chip-seq
GSM1003732,Homo sapiens,GSE40867,GPL11154,SRX186822,chip-seq
GSM1847986,Homo sapiens,GSE71952,GPL16791,SRX1142312,chip-seq
GSM456220,Mus musculus,GSE18258,GPL4128,,
GSM1847984,Homo sapiens,GSE71952,GPL16791,SRX1142310,chip-seq
GSM456222,Mus musculus,GSE18258,GPL4128,,
GSM883689,Homo sapiens,GSE36204,GPL10999,SRX124713,chip-seq
GSM456224,Mus musculus,GSE18258,GPL4128,,
GSM1847980,Homo sapiens,GSE71952,GPL16791,SRX1142306,chip-seq
GSM456226,Mus musculus,GSE18258,GPL4128,,
GSM1866129,Homo sapiens,GSE72468,GPL11154,SRX1177356,chip-seq
GSM2200360,Gossypium hirsutum,GSE83371,GPL19231,SRX1846415,chip-seq
GSM1824903,Mus musculus,GSE71003,GPL16791,SRX1098770,chip-seq
GSM1498898,Homo sapiens,GSE61176,GPL11154,SRX693084,chip-seq
GSM1647626,Homo sapiens,GSE67471,GPL11154,SRX974435,chip-seq
GSM1866127,Homo sapiens,GSE72468,GPL11154,SRX1177354,chip-seq
GSM1604258,Mus musculus,GSE58514,GPL13112,SRX869305,chip-seq
GSM1241732,Homo sapiens,GSE51272,GPL6984,,
GSM1918520,Homo sapiens,GSE74359,GPL18573,SRX1383766,chip-seq
GSM2191122,Mus musculus,GSE82424,GPL13112,SRX1832922,chip-seq
GSM418262,Drosophila melanogaster,GSE15424,GPL6949,,
GSM418261,Drosophila melanogaster,GSE15424,GPL6949,,
GSM418260,Drosophila melanogaster,GSE15424,GPL6949,,
GSM359302,Homo sapiens,GSE14436,GPL1454,,
GSM359303,Homo sapiens,GSE14436,GPL1454,,
GSM359300,Homo sapiens,GSE14436,GPL1454,,
GSM359301,Homo sapiens,GSE14436,GPL1454,,
GSM2191120,Mus musculus,GSE82424,GPL13112,SRX1832921,chip-seq
GSM2029142,Homo sapiens,GSE76618,GPL11154,SRX1521237,chip-seq
GSM1383856,Homo sapiens,GSE57498,GPL11154,SRX539647,chip-seq
GSM1647621,Homo sapiens,GSE67471,GPL11154,SRX974430,chip-seq
GSM811288,Caenorhabditis elegans,GSE37502,GPL8647,,
GSM1003741,Homo sapiens,GSE40867,GPL11154,SRX186831,chip-seq
GSM811289,Caenorhabditis elegans,GSE37503,GPL8647,,
GSM1547563,Plasmodium falciparum,GSE63369,GPL19422,SRX761222,chip-seq
GSM1547562,Plasmodium falciparum,GSE63369,GPL19422,SRX761221,chip-seq
GSM1547561,Plasmodium falciparum,GSE63369,GPL19422,SRX761220,chip-seq
GSM2232390,Mus musculus,GSE83833,GPL19057,SRX1943344,chip-seq
GSM1234518,Mus musculus,GSE51004,GPL9250,SRX353826,chip-seq
GSM1845271,Mus musculus,GSE71434,GPL18171,SRX1134808,chip-seq
GSM818946,Mus musculus,GSE33024,GPL9250,SRX101694,chip-seq
GSM818947,Mus musculus,GSE33024,GPL9250,SRX101695,chip-seq
GSM1145305,Mus musculus,GSE47119,GPL11002,SRX283737,chip-seq
GSM1234510,Mus musculus,GSE51004,GPL9250,SRX353818,chip-seq
GSM2039444,Mus musculus,GSE73124,GPL13112,SRX1531207,chip-seq
GSM1234517,Mus musculus,GSE51004,GPL9250,SRX353825,chip-seq
GSM1918526,Homo sapiens,GSE74359,GPL18573,SRX1383772,chip-seq
GSM1890167,Homo sapiens,GSE64243,GPL16791,SRX1293677,chip-seq
GSM1020361,Homo sapiens,GSE41578,GPL6947,SRX196105,chip-seq
GSM1821396,Pan troglodytes,GSE67978,GPL11154,SRX1096832,chip-seq
GSM1821395,Pan troglodytes,GSE67978,GPL11154,SRX1096831,chip-seq
GSM1020362,Homo sapiens,GSE41578,GPL6947,SRX196106,chip-seq
GSM1821393,Pan troglodytes,GSE67978,GPL11154,SRX1096829,chip-seq
GSM1821392,Homo sapiens,GSE67978,GPL11154,SRX1096828,chip-seq
GSM353604,Homo sapiens,GSE14092,GPL9052,SRX022553,chip-seq
GSM1821390,Homo sapiens,GSE67978,GPL11154,SRX1096826,chip-seq
GSM1141672,Homo sapiens,GSE46945,GPL10999,SRX278103,chip-seq
GSM1611740,Gallus gallus,GSE65961,GPL16133,SRX878709,chip-seq
GSM1849917,Mus musculus,GSE72017,GPL17021,SRX1143959,chip-seq
GSM1849916,Mus musculus,GSE72017,GPL17021,SRX1143958,chip-seq
GSM1849915,Mus musculus,GSE72017,GPL17021,SRX1143957,chip-seq
GSM811287,Caenorhabditis elegans,GSE37501,GPL8647,,
GSM675135,Saccharomyces cerevisiae,GSE27307,GPL7250,,
GSM1599152,Homo sapiens,GSE65516,GPL16791,SRX863151,chip-seq
GSM1647371,Homo sapiens,GSE67455,GPL11154,SRX974384,chip-seq
GSM1782695,Homo sapiens,GSE70482,GPL11154,SRX1079995,other
GSM1519156,Homo sapiens,GSE62063,GPL11154,SRX722353,chip-seq
GSM1647370,Homo sapiens,GSE67455,GPL11154,SRX974383,chip-seq
GSM1569569,Homo sapiens,GSE64367,GPL11154,SRX818562,chip-seq
GSM1600239,Brassica napus,GSE65571,GPL19731,SRX864545,chip-seq
GSM1482825,Mus musculus,GSE60378,GPL16791,SRX684268,chip-seq
GSM867110,Homo sapiens,GSE35375,GPL10999,SRX117984,chip-seq
GSM1647622,Homo sapiens,GSE67471,GPL11154,SRX974431,chip-seq
GSM1218879,Mus musculus,GSE50417,GPL13112,SRX341049,chip-seq
GSM1233989,Homo sapiens,GSE50893,GPL11154,SRX356557,chip-seq
GSM1233988,Homo sapiens,GSE50893,GPL11154,SRX356556,chip-seq
GSM1918524,Homo sapiens,GSE74359,GPL18573,SRX1383770,chip-seq
GSM1089821,Homo sapiens,GSE44737,GPL10999,SRX246864,chip-seq
GSM940922,Mus musculus,GSE38377,GPL9250,SRX150871,chip-seq
GSM610763,Mus musculus,GSE22102,GPL9250,SRX029282,chip-seq
GSM940923,Mus musculus,GSE38377,GPL9250,SRX150872,chip-seq
GSM1148319,Homo sapiens,GSE47380,GPL15802,,
GSM1148318,Homo sapiens,GSE47380,GPL15802,,
GSM317597,Homo sapiens,GSE12646,GPL570,SRX005159,chip-seq
GSM1550876,Homo sapiens,GSE62742,GPL11154,SRX764555,chip-seq
GSM1922389,Homo sapiens,GSE53491,GPL10999,SRX1403825,chip-seq
GSM940920,Mus musculus,GSE38377,GPL9250,SRX150869,chip-seq
GSM1915814,Mus musculus,GSE74262,GPL13112,SRX1365214,chip-seq
GSM1241558,Homo sapiens,GSE51272,GPL6984,,
GSM669924,Homo sapiens,GSE19465,GPL9115,,chip-seq
GSM397404,Mus musculus,GSE15814,GPL9185,SRX006970,chip-seq
GSM397403,Mus musculus,GSE15814,GPL9185,SRX006969,chip-seq
GSM397402,Mus musculus,GSE15814,GPL9185,SRX006967,chip-seq
GSM1498409,Mus musculus,GSE61148,GPL11002,SRX692940,chip-seq
